Highland Tinamou,Nothocercus bonapartei
Indian Peafowl,Pavo cristatus
Ruffed Grouse,Bonasa umbellus
Greater Sage-Grouse,Centrocercus urophasianus
Gunnison Sage-Grouse,Centrocercus minimus
Spruce Grouse,Falcipennis canadensis
Willow Ptarmigan,Lagopus lagopus
Rock Ptarmigan,Lagopus muta
White-tailed Ptarmigan,Lagopus leucura
Dusky Grouse,Dendragapus obscurus
Sooty Grouse,Dendragapus fuliginosus
Sharp-tailed Grouse,Tympanuchus phasianellus
Greater Prairie-Chicken,Tympanuchus cupido
Lesser Prairie-Chicken,Tympanuchus pallidicinctus
Wild Turkey,Meleagris gallopavo
Ocellated Turkey,Meleagris ocellata
American Flamingo,Phoenicopterus ruber
Least Grebe,Tachybaptus dominicus
Pied-billed Grebe,Podilymbus podiceps
Atitlan Grebe,Podilymbus gigas
Horned Grebe,Podiceps auritus
Red-necked Grebe,Podiceps grisegena
Eared Grebe,Podiceps nigricollis
Western Grebe,Aechmophorus occidentalis
Clark's Grebe,Aechmophorus clarkii
Chestnut-bellied Sandgrouse,Pterocles exustus
Rock Pigeon,Columba livia
Pale-vented Pigeon,Patagioenas cayennensis
Scaled Pigeon,Patagioenas speciosa
Scaly-naped Pigeon,Patagioenas squamosa
White-crowned Pigeon,Patagioenas leucocephala
Red-billed Pigeon,Patagioenas flavirostris
Plain Pigeon,Patagioenas inornata
Band-tailed Pigeon,Patagioenas fasciata
Ring-tailed Pigeon,Patagioenas caribaea
Plumbeous Pigeon,Patagioenas plumbea
Ruddy Pigeon,Patagioenas subvinacea
Short-billed Pigeon,Patagioenas nigrirostris
Dusky Pigeon,Patagioenas goodsoni
Oriental Turtle-Dove,Streptopelia orientalis
African Collared-Dove,Streptopelia roseogrisea
European Turtle-Dove,Streptopelia turtur
Eurasian Collared-Dove,Streptopelia decaocto
Spotted Dove,Streptopelia chinensis
Zebra Dove,Geopelia striata
Passenger Pigeon,Ectopistes migratorius
Inca Dove,Columbina inca
Common Ground Dove,Columbina passerina
Plain-breasted Ground Dove,Columbina minuta
Ruddy Ground Dove,Columbina talpacoti
Blue Ground Dove,Claravis pretiosa
Maroon-chested Ground Dove,Paraclaravis mondetoura
Blue-headed Quail-Dove,Starnoenas cyanocephala
Crested Quail-Dove,Geotrygon versicolor
Ruddy Quail-Dove,Geotrygon montana
Violaceous Quail-Dove,Geotrygon violacea
Gray-fronted Quail-Dove,Geotrygon caniceps
White-fronted Quail-Dove,Geotrygon leucometopia
Key West Quail-Dove,Geotrygon chrysia
Bridled Quail-Dove,Geotrygon mystacea
Olive-backed Quail-Dove,Leptotrygon veraguensis
White-tipped Dove,Leptotila verreauxi
Caribbean Dove,Leptotila jamaicensis
Gray-chested Dove,Leptotila cassinii
Gray-headed Dove,Leptotila plumbeiceps
Grenada Dove,Leptotila wellsi
Tuxtla Quail-Dove,Zentrygon carrikeri
Buff-fronted Quail-Dove,Zentrygon costaricensis
Purplish-backed Quail-Dove,Zentrygon lawrencii
White-faced Quail-Dove,Zentrygon albifacies
Chiriqui Quail-Dove,Zentrygon chiriquensis
Russet-crowned Quail-Dove,Zentrygon goldmani
White-winged Dove,Zenaida asiatica
Zenaida Dove,Zenaida aurita
Eared Dove,Zenaida auriculata
Mourning Dove,Zenaida macroura
Socorro Dove,Zenaida graysoni
Greater Ani,Crotophaga major
Smooth-billed Ani,Crotophaga ani
Groove-billed Ani,Crotophaga sulcirostris
Striped Cuckoo,Tapera naevia
Pheasant Cuckoo,Dromococcyx phasianellus
Lesser Ground-Cuckoo,Morococcyx erythropygus
Lesser Roadrunner,Geococcyx velox
Greater Roadrunner,Geococcyx californianus
Rufous-vented Ground-Cuckoo,Neomorphus geoffroyi
Common Cuckoo,Cuculus canorus
Oriental Cuckoo,Cuculus optatus
Little Cuckoo,Coccycua minuta
Dwarf Cuckoo,Coccycua pumila
Squirrel Cuckoo,Piaya cayana
Dark-billed Cuckoo,Coccyzus melacoryphus
Yellow-billed Cuckoo,Coccyzus americanus
Pearly-breasted Cuckoo,Coccyzus euleri
Mangrove Cuckoo,Coccyzus minor
Cocos Cuckoo,Coccyzus ferrugineus
Black-billed Cuckoo,Coccyzus erythropthalmus
Gray-capped Cuckoo,Coccyzus lansbergi
Chestnut-bellied Cuckoo,Coccyzus pluvialis
Bay-breasted Cuckoo,Coccyzus rufigularis
Jamaican Lizard-Cuckoo,Coccyzus vetula
Puerto Rican Lizard-Cuckoo,Coccyzus vieilloti
Great Lizard-Cuckoo,Coccyzus merlini
Hispaniolan Lizard-Cuckoo,Coccyzus longirostris
Short-tailed Nighthawk,Lurocalis semitorquatus
Lesser Nighthawk,Chordeiles acutipennis
Common Nighthawk,Chordeiles minor
Antillean Nighthawk,Chordeiles gundlachii
Common Pauraque,Nyctidromus albicollis
Common Poorwill,Phalaenoptilus nuttallii
Jamaican Pauraque,Siphonorhis americana
Least Pauraque,Siphonorhis brewsteri
Eared Poorwill,Nyctiphrynus mcleodii
Yucatan Poorwill,Nyctiphrynus yucatanicus
Ocellated Poorwill,Nyctiphrynus ocellatus
Chuck-will's-widow,Antrostomus carolinensis
Rufous Nightjar,Antrostomus rufus
Greater Antillean Nightjar,Antrostomus cubanensis
Tawny-collared Nightjar,Antrostomus salvini
Yucatan Nightjar,Antrostomus badius
Buff-collared Nightjar,Antrostomus ridgwayi
Eastern Whip-poor-will,Antrostomus vociferus
Dusky Nightjar,Antrostomus saturatus
Mexican Whip-poor-will,Antrostomus arizonae
Puerto Rican Nightjar,Antrostomus noctitherus
White-tailed Nightjar,Hydropsalis cayennensis
Spot-tailed Nightjar,Hydropsalis maculicaudus
Gray Nightjar,Caprimulgus jotaka
Oilbird,Steatornis caripensis
Great Potoo,Nyctibius grandis
Common Potoo,Nyctibius griseus
Northern Potoo,Nyctibius jamaicensis
Black Swift,Cypseloides niger
White-fronted Swift,Cypseloides storeri
White-chinned Swift,Cypseloides cryptus
Spot-fronted Swift,Cypseloides cherriei
Chestnut-collared Swift,Streptoprocne rutila
White-collared Swift,Streptoprocne zonaris
White-naped Swift,Streptoprocne semicollaris
Chimney Swift,Chaetura pelagica
Vaux's Swift,Chaetura vauxi
Chapman's Swift,Chaetura chapmani
Short-tailed Swift,Chaetura brachyura
Sick's Swift,Chaetura meridionalis
Band-rumped Swift,Chaetura spinicaudus
Costa Rican Swift,Chaetura fumosa
Gray-rumped Swift,Chaetura cinereiventris
Lesser Antillean Swift,Chaetura martinica
White-throated Needletail,Hirundapus caudacutus
Mariana Swiftlet,Aerodramus bartschi
Common Swift,Apus apus
Fork-tailed Swift,Apus pacificus
Alpine Swift,Apus melba
White-throated Swift,Aeronautes saxatalis
Lesser Swallow-tailed Swift,Panyptila cayennensis
Great Swallow-tailed Swift,Panyptila sanctihieronymi
Antillean Palm-Swift,Tachornis phoenicobia
White-necked Jacobin,Florisuga mellivora
White-tipped Sicklebill,Eutoxeres aquila
Bronzy Hermit,Glaucis aeneus
Rufous-breasted Hermit,Glaucis hirsutus
Band-tailed Barbthroat,Threnetes ruckeri
Green Hermit,Phaethornis guy
Mexican Hermit,Phaethornis mexicanus
Long-billed Hermit,Phaethornis longirostris
Pale-bellied Hermit,Phaethornis anthophilus
Stripe-throated Hermit,Phaethornis striigularis
Green-fronted Lancebill,Doryfera ludovicae
Brown Violetear,Colibri delphinae
Mexican Violetear,Colibri thalassinus
Lesser Violetear,Colibri cyanotus
Tooth-billed Hummingbird,Androdon aequatorialis
Purple-crowned Fairy,Heliothryx barroti
Ruby-topaz Hummingbird,Chrysolampis mosquitus
Green-breasted Mango,Anthracothorax prevostii
Black-throated Mango,Anthracothorax nigricollis
Veraguan Mango,Anthracothorax veraguensis
Antillean Mango,Anthracothorax dominicus
Green Mango,Anthracothorax viridis
Jamaican Mango,Anthracothorax mango
Purple-throated Carib,Eulampis jugularis
Green-throated Carib,Eulampis holosericeus
Green Thorntail,Discosura conversii
Short-crested Coquette,Lophornis brachylophus
Rufous-crested Coquette,Lophornis delattrei
Black-crested Coquette,Lophornis helenae
White-crested Coquette,Lophornis adorabilis
Greenish Puffleg,Haplophaedia aureliae
Green-crowned Brilliant,Heliodoxa jacula
Rivoli's Hummingbird,Eugenes fulgens
Talamanca Hummingbird,Eugenes spectabilis
Fiery-throated Hummingbird,Panterpe insignis
Long-billed Starthroat,Heliomaster longirostris
Plain-capped Starthroat,Heliomaster constantii
Green-throated Mountain-gem,Lampornis viridipallens
Green-breasted Mountain-gem,Lampornis sybillae
Amethyst-throated Mountain-gem,Lampornis amethystinus
Blue-throated Mountain-gem,Lampornis clemenciae
White-bellied Mountain-gem,Lampornis hemileucus
Purple-throated Mountain-gem,Lampornis calolaemus
White-throated Mountain-gem,Lampornis castaneoventris
Garnet-throated Hummingbird,Lamprolaima rhami
Magenta-throated Woodstar,Calliphlox bryantae
Purple-throated Woodstar,Calliphlox mitchellii
Slender Sheartail,Doricha enicura
Mexican Sheartail,Doricha eliza
Sparkling-tailed Hummingbird,Tilmatura dupontii
Lucifer Hummingbird,Calothorax lucifer
Beautiful Hummingbird,Calothorax pulcher
Ruby-throated Hummingbird,Archilochus colubris
Black-chinned Hummingbird,Archilochus alexandri
Vervain Hummingbird,Mellisuga minima
Bee Hummingbird,Mellisuga helenae
Bahama Woodstar,Nesophlox evelynae
Inagua Woodstar,Nesophlox lyrura
Anna's Hummingbird,Calypte anna
Costa's Hummingbird,Calypte costae
Bumblebee Hummingbird,Atthis heloisa
Wine-throated Hummingbird,Atthis ellioti
Broad-tailed Hummingbird,Selasphorus platycercus
Rufous Hummingbird,Selasphorus rufus
Allen's Hummingbird,Selasphorus sasin
Volcano Hummingbird,Selasphorus flammula
Glow-throated Hummingbird,Selasphorus ardens
Scintillant Hummingbird,Selasphorus scintilla
Calliope Hummingbird,Selasphorus calliope
Golden-crowned Emerald,Chlorostilbon auriceps
Cozumel Emerald,Chlorostilbon forficatus
Canivet's Emerald,Chlorostilbon canivetii
Garden Emerald,Chlorostilbon assimilis
Cuban Emerald,Chlorostilbon ricordii
Brace's Emerald,Chlorostilbon bracei
Hispaniolan Emerald,Chlorostilbon swainsonii
Puerto Rican Emerald,Chlorostilbon maugaeus
Dusky Hummingbird,Cynanthus sordidus
Broad-billed Hummingbird,Cynanthus latirostris
Blue-headed Hummingbird,Cyanophaia bicolor
Violet-headed Hummingbird,Klais guimeti
Emerald-chinned Hummingbird,Abeillia abeillei
Antillean Crested Hummingbird,Orthorhyncus cristatus
Scaly-breasted Hummingbird,Phaeochroa cuvierii
Wedge-tailed Sabrewing,Campylopterus curvipennis
Long-tailed Sabrewing,Campylopterus excellens
Rufous Sabrewing,Campylopterus rufus
Violet Sabrewing,Campylopterus hemileucurus
Stripe-tailed Hummingbird,Eupherusa eximia
Blue-capped Hummingbird,Eupherusa cyanophrys
White-tailed Hummingbird,Eupherusa poliocerca
Black-bellied Hummingbird,Eupherusa nigriventris
White-tailed Emerald,Elvira chionura
Coppery-headed Emerald,Elvira cupreiceps
Snowcap,Microchera albocoronata
White-vented Plumeleteer,Chalybura buffonii
Bronze-tailed Plumeleteer,Chalybura urochrysia
Mexican Woodnymph,Thalurania ridgwayi
Crowned Woodnymph,Thalurania colombica
White-bellied Emerald,Amazilia candida
Honduran Emerald,Amazilia luciae
Blue-chested Hummingbird,Amazilia amabilis
Charming Hummingbird,Amazilia decora
Mangrove Hummingbird,Amazilia boucardi
Azure-crowned Hummingbird,Amazilia cyanocephala
Berylline Hummingbird,Amazilia beryllina
Blue-tailed Hummingbird,Amazilia cyanura
Blue-vented Hummingbird,Amazilia hoffmanni
Snowy-bellied Hummingbird,Amazilia edward
Rufous-tailed Hummingbird,Amazilia tzacatl
Buff-bellied Hummingbird,Amazilia yucatanensis
Cinnamon Hummingbird,Amazilia rutila
Violet-crowned Hummingbird,Amazilia violiceps
Green-fronted Hummingbird,Amazilia viridifrons
Streamertail,Trochilus polytmus
Pirre Hummingbird,Goethalsia bella
Violet-capped Hummingbird,Goldmania violiceps
Sapphire-throated Hummingbird,Lepidopyga coeruleogularis
Violet-bellied Hummingbird,Juliamyia julie
Humboldt's Sapphire,Hylocharis humboldtii
Blue-throated Goldentail,Hylocharis eliciae
White-eared Hummingbird,Hylocharis leucotis
Xantus's Hummingbird,Hylocharis xantusii
Yellow Rail,Coturnicops noveboracensis
Ocellated Crake,Micropygia schomburgkii
Ruddy Crake,Laterallus ruber
White-throated Crake,Laterallus albigularis
Gray-breasted Crake,Laterallus exilis
Black Rail,Laterallus jamaicensis
Corn Crake,Crex crex
Ridgway's Rail,Rallus obsoletus
Clapper Rail,Rallus crepitans
Aztec Rail,Rallus tenuirostris
Mangrove Rail,Rallus longirostris
King Rail,Rallus elegans
Virginia Rail,Rallus limicola
Western Water-Rail,Rallus aquaticus
Rufous-necked Wood-Rail,Aramides axillaris
Russet-naped Wood-Rail,Aramides albiventris
Gray-cowled Wood-Rail,Aramides cajaneus
Uniform Crake,Amaurolimnas concolor
Sora,Porzana carolina
Spotted Crake,Porzana porzana
Laysan Rail,Zapornia palmeri
Hawaiian Rail,Zapornia sandwichensis
Yellow-breasted Crake,Hapalocrex flaviventer
Colombian Crake,Neocrex colombiana
Paint-billed Crake,Neocrex erythrops
Zapata Rail,Cyanolimnas cerverai
Spotted Rail,Pardirallus maculatus
Purple Gallinule,Porphyrio martinicus
Azure Gallinule,Porphyrio flavirostris
Purple Swamphen,Porphyrio porphyrio
Common Gallinule,Gallinula galeata
Common Moorhen,Gallinula chloropus
Eurasian Coot,Fulica atra
Hawaiian Coot,Fulica alai
American Coot,Fulica americana
Sungrebe,Heliornis fulica
Limpkin,Aramus guarauna
Sandhill Crane,Antigone canadensis
Common Crane,Grus grus
Whooping Crane,Grus americana
Double-striped Thick-knee,Burhinus bistriatus
Black-winged Stilt,Himantopus himantopus
Black-necked Stilt,Himantopus mexicanus
American Avocet,Recurvirostra americana
Eurasian Oystercatcher,Haematopus ostralegus
American Oystercatcher,Haematopus palliatus
Black Oystercatcher,Haematopus bachmani
Northern Lapwing,Vanellus vanellus
Southern Lapwing,Vanellus chilensis
Black-bellied Plover,Pluvialis squatarola
European Golden-Plover,Pluvialis apricaria
American Golden-Plover,Pluvialis dominica
Pacific Golden-Plover,Pluvialis fulva
Eurasian Dotterel,Charadrius morinellus
Killdeer,Charadrius vociferus
Common Ringed Plover,Charadrius hiaticula
Semipalmated Plover,Charadrius semipalmatus
Piping Plover,Charadrius melodus
Little Ringed Plover,Charadrius dubius
Lesser Sand-Plover,Charadrius mongolus
Greater Sand-Plover,Charadrius leschenaultii
Oriental Plover,Charadrius veredus
Wilson's Plover,Charadrius wilsonia
Collared Plover,Charadrius collaris
Mountain Plover,Charadrius montanus
Snowy Plover,Charadrius nivosus
Northern Jacana,Jacana spinosa
Wattled Jacana,Jacana jacana
Upland Sandpiper,Bartramia longicauda
Bristle-thighed Curlew,Numenius tahitiensis
Whimbrel,Numenius phaeopus
Little Curlew,Numenius minutus
Eskimo Curlew,Numenius borealis
Long-billed Curlew,Numenius americanus
Far Eastern Curlew,Numenius madagascariensis
Slender-billed Curlew,Numenius tenuirostris
Eurasian Curlew,Numenius arquata
Bar-tailed Godwit,Limosa lapponica
Black-tailed Godwit,Limosa limosa
Hudsonian Godwit,Limosa haemastica
Marbled Godwit,Limosa fedoa
Ruddy Turnstone,Arenaria interpres
Black Turnstone,Arenaria melanocephala
Great Knot,Calidris tenuirostris
Red Knot,Calidris canutus
Surfbird,Calidris virgata
Ruff,Calidris pugnax
Broad-billed Sandpiper,Calidris falcinellus
Sharp-tailed Sandpiper,Calidris acuminata
Stilt Sandpiper,Calidris himantopus
Curlew Sandpiper,Calidris ferruginea
Temminck's Stint,Calidris temminckii
Long-toed Stint,Calidris subminuta
Spoon-billed Sandpiper,Calidris pygmea
Red-necked Stint,Calidris ruficollis
Sanderling,Calidris alba
Dunlin,Calidris alpina
Rock Sandpiper,Calidris ptilocnemis
Purple Sandpiper,Calidris maritima
Baird's Sandpiper,Calidris bairdii
Little Stint,Calidris minuta
Least Sandpiper,Calidris minutilla
White-rumped Sandpiper,Calidris fuscicollis
Buff-breasted Sandpiper,Calidris subruficollis
Pectoral Sandpiper,Calidris melanotos
Semipalmated Sandpiper,Calidris pusilla
Western Sandpiper,Calidris mauri
Short-billed Dowitcher,Limnodromus griseus
Long-billed Dowitcher,Limnodromus scolopaceus
Jack Snipe,Lymnocryptes minimus
Eurasian Woodcock,Scolopax rusticola
American Woodcock,Scolopax minor
Solitary Snipe,Gallinago solitaria
Pin-tailed Snipe,Gallinago stenura
Common Snipe,Gallinago gallinago
Wilson's Snipe,Gallinago delicata
Terek Sandpiper,Xenus cinereus
Common Sandpiper,Actitis hypoleucos
Spotted Sandpiper,Actitis macularius
Green Sandpiper,Tringa ochropus
Solitary Sandpiper,Tringa solitaria
Gray-tailed Tattler,Tringa brevipes
Wandering Tattler,Tringa incana
Lesser Yellowlegs,Tringa flavipes
Willet,Tringa semipalmata
Spotted Redshank,Tringa erythropus
Common Greenshank,Tringa nebularia
Greater Yellowlegs,Tringa melanoleuca
Common Redshank,Tringa totanus
Wood Sandpiper,Tringa glareola
Marsh Sandpiper,Tringa stagnatilis
Wilson's Phalarope,Phalaropus tricolor
Red-necked Phalarope,Phalaropus lobatus
Red Phalarope,Phalaropus fulicarius
Collared Pratincole,Glareola pratincola
Oriental Pratincole,Glareola maldivarum
Great Skua,Stercorarius skua
South Polar Skua,Stercorarius maccormicki
Pomarine Jaeger,Stercorarius pomarinus
Parasitic Jaeger,Stercorarius parasiticus
Long-tailed Jaeger,Stercorarius longicaudus
Dovekie,Alle alle
Common Murre,Uria aalge
Thick-billed Murre,Uria lomvia
Razorbill,Alca torda
Great Auk,Pinguinus impennis
Black Guillemot,Cepphus grylle
Pigeon Guillemot,Cepphus columba
Long-billed Murrelet,Brachyramphus perdix
Marbled Murrelet,Brachyramphus marmoratus
Kittlitz's Murrelet,Brachyramphus brevirostris
Scripps's Murrelet,Synthliboramphus scrippsi
Guadalupe Murrelet,Synthliboramphus hypoleucus
Craveri's Murrelet,Synthliboramphus craveri
Ancient Murrelet,Synthliboramphus antiquus
Cassin's Auklet,Ptychoramphus aleuticus
Parakeet Auklet,Aethia psittacula
Least Auklet,Aethia pusilla
Whiskered Auklet,Aethia pygmaea
Crested Auklet,Aethia cristatella
Rhinoceros Auklet,Cerorhinca monocerata
Atlantic Puffin,Fratercula arctica
Horned Puffin,Fratercula corniculata
Tufted Puffin,Fratercula cirrhata
Swallow-tailed Gull,Creagrus furcatus
Black-legged Kittiwake,Rissa tridactyla
Red-legged Kittiwake,Rissa brevirostris
Ivory Gull,Pagophila eburnea
Sabine's Gull,Xema sabini
Bonaparte's Gull,Chroicocephalus philadelphia
Gray-hooded Gull,Chroicocephalus cirrocephalus
Black-headed Gull,Chroicocephalus ridibundus
Little Gull,Hydrocoloeus minutus
Ross's Gull,Rhodostethia rosea
Gray Gull,Leucophaeus modestus
Laughing Gull,Leucophaeus atricilla
Franklin's Gull,Leucophaeus pipixcan
Belcher's Gull,Larus belcheri
Black-tailed Gull,Larus crassirostris
Heermann's Gull,Larus heermanni
Mew Gull,Larus canus
Ring-billed Gull,Larus delawarensis
Western Gull,Larus occidentalis
Yellow-footed Gull,Larus livens
California Gull,Larus californicus
Herring Gull,Larus argentatus
Yellow-legged Gull,Larus michahellis
Iceland Gull,Larus glaucoides
Lesser Black-backed Gull,Larus fuscus
Slaty-backed Gull,Larus schistisagus
Glaucous-winged Gull,Larus glaucescens
Glaucous Gull,Larus hyperboreus
Great Black-backed Gull,Larus marinus
Kelp Gull,Larus dominicanus
Brown Noddy,Anous stolidus
Black Noddy,Anous minutus
Blue-gray Noddy,Anous ceruleus
White Tern,Gygis alba
Sooty Tern,Onychoprion fuscatus
Gray-backed Tern,Onychoprion lunatus
Bridled Tern,Onychoprion anaethetus
Aleutian Tern,Onychoprion aleuticus
Little Tern,Sternula albifrons
Least Tern,Sternula antillarum
Yellow-billed Tern,Sternula superciliaris
Large-billed Tern,Phaetusa simplex
Gull-billed Tern,Gelochelidon nilotica
Caspian Tern,Hydroprogne caspia
Inca Tern,Larosterna inca
Black Tern,Chlidonias niger
White-winged Tern,Chlidonias leucopterus
Whiskered Tern,Chlidonias hybrida
Roseate Tern,Sterna dougallii
Common Tern,Sterna hirundo
Arctic Tern,Sterna paradisaea
Forster's Tern,Sterna forsteri
Royal Tern,Thalasseus maximus
Great Crested Tern,Thalasseus bergii
Sandwich Tern,Thalasseus sandvicensis
Elegant Tern,Thalasseus elegans
Black Skimmer,Rynchops niger
Sunbittern,Eurypyga helias
White-tailed Tropicbird,Phaethon lepturus
Red-billed Tropicbird,Phaethon aethereus
Red-tailed Tropicbird,Phaethon rubricauda
Red-throated Loon,Gavia stellata
Arctic Loon,Gavia arctica
Pacific Loon,Gavia pacifica
Common Loon,Gavia immer
Yellow-billed Loon,Gavia adamsii
Yellow-nosed Albatross,Thalassarche chlororhynchos
White-capped Albatross,Thalassarche cauta
Chatham Albatross,Thalassarche eremita
Salvin's Albatross,Thalassarche salvini
Black-browed Albatross,Thalassarche melanophris
Light-mantled Albatross,Phoebetria palpebrata
Wandering Albatross,Diomedea exulans
Laysan Albatross,Phoebastria immutabilis
Black-footed Albatross,Phoebastria nigripes
Waved Albatross,Phoebastria irrorata
Short-tailed Albatross,Phoebastria albatrus
Wilson's Storm-Petrel,Oceanites oceanicus
White-faced Storm-Petrel,Pelagodroma marina
Black-bellied Storm-Petrel,Fregetta tropica
European Storm-Petrel,Hydrobates pelagicus
Fork-tailed Storm-Petrel,Hydrobates furcatus
Ringed Storm-Petrel,Hydrobates hornbyi
Swinhoe's Storm-Petrel,Hydrobates monorhis
Leach's Storm-Petrel,Hydrobates leucorhous
Townsend's Storm-Petrel,Hydrobates socorroensis
Ainley's Storm-Petrel,Hydrobates cheimomnestes
Ashy Storm-Petrel,Hydrobates homochroa
Band-rumped Storm-Petrel,Hydrobates castro
Wedge-rumped Storm-Petrel,Hydrobates tethys
Black Storm-Petrel,Hydrobates melania
Guadalupe Storm-Petrel,Hydrobates macrodactylus
Markham's Storm-Petrel,Hydrobates markhami
Tristram's Storm-Petrel,Hydrobates tristrami
Least Storm-Petrel,Hydrobates microsoma
Northern Fulmar,Fulmarus glacialis
Gray-faced Petrel,Pterodroma gouldi
Providence Petrel,Pterodroma solandri
Kermadec Petrel,Pterodroma neglecta
Trindade Petrel,Pterodroma arminjoniana
Herald Petrel,Pterodroma heraldica
Murphy's Petrel,Pterodroma ultima
Mottled Petrel,Pterodroma inexpectata
Bermuda Petrel,Pterodroma cahow
Black-capped Petrel,Pterodroma hasitata
Juan Fernandez Petrel,Pterodroma externa
Galapagos Petrel,Pterodroma phaeopygia
Hawaiian Petrel,Pterodroma sandwichensis
White-necked Petrel,Pterodroma cervicalis
Bonin Petrel,Pterodroma hypoleuca
Black-winged Petrel,Pterodroma nigripennis
Fea's Petrel,Pterodroma feae
Zino's Petrel,Pterodroma madeira
Cook's Petrel,Pterodroma cookii
